video_id,timestamp,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
1100011002.avi,0.0,0.6068711876869202,0.2804907560348511,0.2585158050060272,0.28842487931251526,0.3860893249511719,0.0,0.2284151315689087,0.04918411374092102,0.0,0.18740475177764893,0.31249961256980896,0.3708285391330719,0.5672207474708557,0.0,0.5446437001228333,0.4638099670410156,0.7653087973594666,0.20284602046012878,0.1820506453514099,0.38531923294067383
1100011002.avi,1.0,0.6169655621051788,0.39923134446144104,0.3360951542854309,0.25483495742082596,0.362034410238266,0.0,0.3019351661205292,0.031953015830367804,0.5,0.22292423248291016,0.43003635108470917,0.4712926000356674,0.6118978559970856,0.0,0.5882423520088196,0.3796515464782715,0.7058681547641754,0.29123710095882416,0.20731399208307266,0.4261108338832855
1100011002.avi,2.0,0.6040862798690796,0.454178253809611,0.2792253444592158,0.2771870046854019,0.3330785632133484,0.0,0.252363180120786,0.17083260013411442,0.6666666666666666,0.2471990684668223,0.3873982826868693,0.49744513630867004,0.549037496248881,0.3333333333333333,0.6064334710439047,0.29390082756678265,0.7992961208025614,0.3678828378518422,0.242626483241717,0.3183940425515175
1100011002.avi,3.0,0.6251445015271505,0.5007687012354533,0.26196639239788055,0.26423188547293347,0.36980430285135907,0.0,0.310059333841006,0.16540629137307405,0.6666666666666666,0.2862315575281779,0.4457221229871114,0.5170716047286987,0.5307212273279825,0.6666666666666666,0.6040517886479696,0.18760362267494202,0.857978343963623,0.48777618010838825,0.2570027808348338,0.3587440624833107
1100011002.avi,4.0,0.5729732910792033,0.5001882115999857,0.1474912241101265,0.29709352056185406,0.3339677651723226,0.0,0.22011679162581763,0.3491273807982604,0.3333333333333333,0.27312704424063367,0.35029173890749615,0.5042733152707418,0.4792052110036214,1.0,0.6341250936190287,0.12147868673006694,0.9561240275700887,0.5524226625760397,0.2130446434020996,0.2251475229859352
1100011002.avi,5.0,0.6113988757133484,0.4361424446105957,0.14183852324883142,0.2737342417240143,0.30914922555287677,0.0,0.24865992615620294,0.3723628210524718,0.0,0.2011143391331037,0.32023300727208454,0.48237723112106323,0.4640539189179738,1.0,0.6551446914672852,0.1133459061384201,0.9567503730456034,0.6293007930119833,0.2776727577050527,0.3506168822447459
1100011002.avi,6.0,0.5817486047744751,0.42508334914843243,0.09306972722212474,0.29784923791885376,0.20879851281642914,0.0,0.15146387368440628,0.5887513160705566,0.0,0.1540969337026278,0.2541608015696208,0.5466107924779257,0.44447540243466693,1.0,0.7234122554461161,0.1074626495440801,0.971388061841329,0.5121651887893677,0.32040248811244965,0.21483702212572098
1100011002.avi,7.0,0.6521275242169698,0.36911866068840027,0.1560625657439232,0.2623233397801717,0.221305583914121,0.0,0.2298543006181717,0.41561342030763626,0.3333333333333333,0.1331260030468305,0.3098660906155904,0.5743310451507568,0.4798663357893626,0.6666666666666666,0.6971607605616251,0.2820156266291936,0.8017737666765848,0.4439633985360463,0.3659011522928874,0.3620564416050911
1100011002.avi,8.0,0.6060799757639567,0.3997316559155782,0.15366198867559433,0.2837668756643931,0.22429536283016205,0.0,0.1879695604244868,0.3021696483095487,0.6666666666666666,0.15905074775218964,0.3156761477390925,0.6562423507372538,0.5204058289527893,0.6666666666666666,0.6818535526593527,0.30015485485394794,0.8024611671765646,0.4105643729368846,0.28409003218015033,0.24830539772907892
1100011002.avi,9.0,0.6399876077969869,0.4455989897251129,0.19794094065825144,0.2859895924727122,0.23603290816148123,0.0,0.18781132499376932,0.09633930772542953,0.6666666666666666,0.15076056122779846,0.3005489508310954,0.6519720753033956,0.5392223596572876,0.6666666666666666,0.6456480224927267,0.2877602552374204,0.801688571770986,0.5141444305578867,0.22081296145915985,0.2524201845129331
